0.000;0;(-1.22, 1.34, -9.24);0.4;8.87;8.93;9.42;10.28;11.43;12.79;14.30;15.92;17.62;19.38;21.17;6.90;6.97;7.59;8.63;9.97;11.51;13.17;14.91;16.71;18.56;20.43;4.95;5.05;5.87;7.17;8.74;10.46;12.26;14.12;16.01;17.92;19.85;3.07;3.22;4.40;6.03;7.83;9.71;11.63;13.57;15.53;17.50;19.47;1.52;1.81;3.50;5.40;7.36;9.33;11.32;13.31;15.30;17.29;19.29;1.79;2.04;3.62;5.49;7.42;9.38;11.36;13.34;15.33;17.32;19.31;3.48;3.61;4.69;6.24;8.00;9.84;11.74;13.67;15.61;17.57;19.54;5.39;5.47;6.24;7.48;8.99;10.67;12.44;14.27;16.15;18.05;19.97;7.34;7.41;7.99;8.99;10.28;11.78;13.40;15.12;16.90;18.72;20.58;9.32;9.37;9.83;10.66;11.77;13.10;14.58;16.17;17.85;19.58;21.36;11.30;11.34;11.73;12.43;13.40;14.58;15.92;17.39;18.96;20.60;22.30
0.202;0;(-1.06, 1.34, -9.23);14.9;9.03;9.08;9.56;10.41;11.54;12.89;14.39;16.00;17.69;19.44;21.23;7.06;7.13;7.73;8.75;10.08;11.60;13.24;14.98;16.77;18.60;20.47;5.11;5.20;6.00;7.27;8.82;10.52;12.31;14.16;16.05;17.95;19.88;3.22;3.36;4.49;6.09;7.88;9.74;11.66;13.59;15.55;17.51;19.48;1.61;1.88;3.53;5.42;7.37;9.34;11.32;13.30;15.30;17.29;19.28;1.69;1.94;3.56;5.44;7.38;9.35;11.33;13.31;15.30;17.29;19.29;3.33;3.47;4.58;6.15;7.92;9.78;11.69;13.62;15.57;17.53;19.50;5.23;5.32;6.10;7.36;8.89;10.58;12.36;14.20;16.08;17.99;19.91;7.18;7.25;7.84;8.85;10.16;11.67;13.31;15.03;16.82;18.65;20.51;9.16;9.21;9.68;10.52;11.64;12.98;14.47;16.07;17.75;19.50;21.28;11.14;11.18;11.57;12.28;13.26;14.45;15.80;17.28;18.85;20.50;22.21
0.405;0;(-0.54, 1.34, -9.21);42.3;9.55;9.60;10.05;10.85;11.94;13.25;14.71;16.28;17.94;19.67;21.44;7.58;7.63;8.19;9.16;10.43;11.90;13.51;15.21;16.97;18.79;20.63;-1;5.69;6.42;7.62;9.11;10.76;12.51;14.33;16.19;18.09;20.00;-1;3.82;4.84;6.34;8.07;9.90;11.78;13.70;15.63;17.59;19.55;1.97;2.17;3.68;5.51;7.43;9.38;11.35;13.33;15.32;17.30;19.29;1.43;1.70;3.42;5.34;7.31;9.29;11.27;13.26;15.26;17.25;19.25;2.86;3.01;4.23;5.89;7.72;9.61;11.54;13.49;15.46;17.43;19.40;4.73;4.81;5.66;6.99;8.58;10.32;12.14;14.01;15.91;17.83;19.77;6.67;6.73;7.36;8.43;9.79;11.34;13.02;14.78;16.59;18.44;20.32;8.64;8.69;9.18;10.06;11.22;12.60;14.13;15.76;17.47;19.24;21.05;10.62;10.66;11.07;11.80;12.81;14.03;15.42;16.93;18.53;20.21;21.94
0.604;0;(0.02, 1.34, -9.17);59.4;-1;-1;10.56;11.32;12.36;13.62;15.04;16.58;18.21;19.90;21.65;-1;-1;8.68;9.60;10.81;12.22;13.79;15.45;17.19;18.98;20.80;-1;6.22;6.88;8.00;9.42;11.02;12.73;14.52;16.35;18.22;20.12;-1;4.32;5.22;6.63;8.28;10.06;11.91;13.81;15.73;17.66;19.61;-1;2.56;3.90;5.65;7.52;9.45;11.40;13.36;15.34;17.32;19.30;1.35;1.58;3.34;5.27;7.24;9.23;11.22;13.21;15.20;17.20;19.20;2.40;2.53;3.88;5.63;7.51;9.44;11.39;13.36;15.33;17.31;19.30;4.21;4.28;5.20;6.61;8.27;10.05;11.90;13.80;15.72;17.65;19.60;6.13;6.19;6.85;7.98;9.40;11.00;12.71;14.50;16.34;18.21;20.11;8.10;8.14;8.65;9.57;10.78;12.20;13.77;15.43;17.17;18.96;20.79;10.07;10.11;10.53;11.29;12.33;13.59;15.02;16.56;18.19;19.89;21.64
0.805;0;(0.53, 1.34, -9.09);67.9;-1;-1;-1;11.75;12.74;13.95;15.33;16.83;18.43;20.10;21.83;-1;-1;9.14;9.99;11.14;12.51;14.03;15.66;17.37;19.13;20.94;-1;-1;7.30;8.35;9.70;11.24;12.91;14.67;16.48;18.33;20.20;-1;-1;5.59;6.90;8.48;10.21;12.03;13.89;15.79;17.71;19.65;-1;2.95;4.13;5.78;7.60;9.50;11.42;13.37;15.34;17.31;19.29;1.50;1.61;3.31;5.23;7.19;9.17;11.15;13.14;15.14;17.13;19.13;2.03;2.11;3.58;5.40;7.32;9.27;11.24;13.21;15.20;17.19;19.18;3.74;3.79;4.76;6.25;7.96;9.79;11.67;13.58;15.52;17.47;19.43;5.64;5.68;6.37;7.55;9.02;10.66;12.41;14.23;16.09;17.97;19.89;7.60;7.62;8.15;9.10;10.35;11.81;13.41;15.11;16.87;18.68;20.53;9.57;9.59;10.02;10.80;11.88;13.17;14.62;16.19;17.85;19.57;21.34
1.003;0;(0.96, 1.34, -9.01);71.7;-1;-1;-1;12.09;13.05;14.22;15.57;17.04;18.61;20.26;21.96;-1;-1;-1;10.32;11.42;12.75;14.23;15.83;17.51;19.25;21.04;-1;-1;7.65;8.64;9.93;11.43;13.06;14.79;16.57;18.41;20.27;-1;-1;5.89;7.12;8.65;10.34;12.12;13.96;15.84;17.75;19.67;-1;-1;4.35;5.91;7.68;9.54;11.45;13.38;15.33;17.29;19.26;1.74;1.75;3.33;5.21;7.15;9.12;11.10;13.09;15.08;17.07;19.06;1.79;1.80;3.36;5.22;7.16;9.13;11.11;13.09;15.08;17.07;19.07;3.37;3.38;4.41;5.96;7.71;9.57;11.47;13.40;15.35;17.31;19.28;5.25;5.25;5.97;7.19;8.70;10.38;12.15;13.99;15.87;17.77;19.69;7.19;7.19;7.73;8.71;9.99;11.48;13.11;14.83;16.61;18.44;20.30;9.16;9.16;9.59;10.39;11.49;12.81;14.29;15.88;17.55;19.29;21.08
1.202;0;(1.14, 1.34, -8.97);73.1;-1;-1;-1;-1;13.18;14.34;15.67;17.13;18.69;20.33;22.02;-1;-1;-1;10.46;11.54;12.85;14.32;15.90;17.57;19.30;21.08;-1;-1;-1;8.76;10.03;11.51;13.13;14.84;16.62;18.44;20.30;-1;-1;6.03;7.23;8.72;10.39;12.16;13.99;15.86;17.76;19.68;-1;-1;4.45;5.97;7.72;9.56;11.46;13.39;15.33;17.29;19.26;-1;1.84;3.35;5.21;7.14;9.10;11.08;13.06;15.05;17.04;19.03;1.71;1.68;3.27;5.15;7.10;9.07;11.05;13.04;15.03;17.02;19.02;3.22;3.20;4.26;5.83;7.61;9.47;11.39;13.32;15.28;17.24;19.21;5.08;5.07;5.79;7.03;8.56;10.26;12.05;13.89;15.77;17.68;19.61;7.02;7.01;7.55;8.54;9.84;11.34;12.98;14.71;16.50;18.33;20.20;8.98;8.98;9.41;10.21;11.32;12.65;14.14;15.74;17.43;19.17;20.96
1.402;0;(1.16, 1.34, -8.97);73.6;-1;-1;-1;-1;13.20;14.36;15.68;17.14;18.70;20.34;22.03;-1;-1;-1;10.47;11.56;12.86;14.33;15.91;17.58;19.31;21.09;-1;-1;-1;8.78;10.05;11.52;13.14;14.85;16.63;18.45;20.30;-1;-1;6.05;7.24;8.74;10.40;12.17;14.00;15.87;17.77;19.69;-1;-1;4.46;5.98;7.72;9.57;11.46;13.39;15.33;17.29;19.26;-1;1.85;3.36;5.21;7.14;9.10;11.08;13.06;15.05;17.04;19.03;1.70;1.66;3.26;5.15;7.10;9.07;11.05;13.04;15.03;17.02;19.02;3.20;3.18;4.24;5.82;7.60;9.47;11.38;13.32;15.27;17.24;19.21;5.06;5.05;5.78;7.02;8.55;10.25;12.04;13.88;15.77;17.68;19.60;7.00;6.99;7.53;8.52;9.82;11.33;12.97;14.70;16.49;18.33;20.19;8.96;8.96;9.39;10.20;11.31;12.64;14.13;15.73;17.42;19.16;20.95
1.603;0;(1.16, 1.34, -8.97);73.6;-1;-1;-1;-1;13.20;14.36;15.68;17.14;18.70;20.34;22.03;-1;-1;-1;10.48;11.56;12.86;14.33;15.91;17.58;19.31;21.09;-1;-1;-1;8.78;10.05;11.53;13.14;14.85;16.63;18.45;20.30;-1;-1;6.05;7.24;8.74;10.40;12.17;14.00;15.87;17.77;19.69;-1;-1;4.46;5.98;7.72;9.57;11.46;13.39;15.33;17.29;19.26;-1;1.85;3.36;5.21;7.14;9.10;11.08;13.06;15.05;17.04;19.03;1.70;1.66;3.26;5.15;7.10;9.07;11.05;13.04;15.03;17.02;19.02;3.20;3.18;4.24;5.82;7.60;9.47;11.38;13.32;15.27;17.24;19.21;5.06;5.05;5.77;7.01;8.55;10.24;12.03;13.88;15.77;17.68;19.60;7.00;6.99;7.53;8.52;9.82;11.33;12.97;14.70;16.49;18.32;20.19;8.96;8.95;9.38;10.19;11.30;12.63;14.12;15.73;17.41;19.16;20.95
1.804;0;(1.16, 1.34, -8.97);73.6;-1;-1;-1;-1;13.20;14.36;15.69;17.14;18.70;20.34;22.03;-1;-1;-1;10.48;11.56;12.86;14.33;15.91;17.58;19.31;21.09;-1;-1;-1;8.78;10.05;11.53;13.14;14.85;16.63;18.45;20.30;-1;-1;6.05;7.24;8.74;10.40;12.17;14.00;15.87;17.77;19.69;-1;-1;4.47;5.98;7.72;9.57;11.46;13.39;15.33;17.29;19.26;-1;1.85;3.36;5.21;7.14;9.10;11.08;13.06;15.05;17.04;19.03;1.70;1.66;3.26;5.15;7.10;9.07;11.05;13.04;15.03;17.02;19.02;3.20;3.18;4.24;5.82;7.60;9.46;11.38;13.32;15.27;17.24;19.21;5.06;5.05;5.77;7.01;8.55;10.24;12.03;13.88;15.76;17.67;19.60;7.00;6.99;7.53;8.52;9.82;11.33;12.97;14.70;16.49;18.32;20.19;8.96;8.95;9.38;10.19;11.30;12.63;14.12;15.73;17.41;19.16;20.95
